age_of_participant,gender,academic_status,field_of_education,do_you_know_about_how_antibiotics_differ_from_other_drugs,pick_the_most_appropriate_definition_of_antibiotics,how_can_you_identify_an_antibiotic,what_is_your_idea_about_the_importance_of_antibiotics,what_is_the_most_dangerous_impact_of_antibiotics,what_is_your_opinion_about_antibiotic_usage,what_is_your_perception_of_drug-resistant_germs,do_you_have_idea_about_antibiotic_resistance_as_a_threat_to_public_health,choose_a_statement_that_you_feel_is_the_best_strategy_to_face_antibiotic-resistance,which_of_the_strategies_have_you_heard_about_against_antibiotic_resistance,what_type_of_movement_on_public_health_issues_do_you_think_will_be_effective_in_setting_malpractices_right,why_do_you_think_public_health_issues_don’t_get_due_importance_in_public_opinion,how_many_antibiotics_have_you_taken_over_the_past_3_years,what_was_the_pattern_of_antibiotic_use,what_was_the_formulation_of_the_product_used,what_was_the_best_experience_with_the_consumption_of_antibiotics,what_was_the_worst_experience_with_the_consumption_of_antibiotics,how_did_you_come_to_consume_the_antibiotic,have_you_experienced_treatment_failure_from_antibiotic_consumption,what_was_your_understanding_of_treatment_failure
25,Male,Graduated ,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
30,Female,Graduated,Microbiology,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Oral,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Duration ,A registered physician prescribed it for the specific symptoms ,No ,
26,Female,M.S,Microbiology,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Tablet, Oinment","I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
23,Female,Undergraduate student  ,Microbiology ,Yes ,Medicine used to treat inflammation ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
19,Male,"Honors 1st year,Department of microbiolog, Jagannath Universit, Dhaka      ",Undergraduate (Departmentof microbiology) ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
24,Female,Student ,Public Health ,Yes ,Medicine used to treat infections ,From name ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
21,Male,Bachelor's of Computer Science ,Hsc,No ,Medicine used to treat inflammation ,From name ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
23,Female,Bsc ,Microbiology,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Oral, Tablet, Injection",I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),High price ,A registered physician prescribed it for the specific symptoms ,Yes ,Doctor couldn’t diagnose the correct problem 
25,Male,M.Sc.  ,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
23,Female,BSc,Jagannath University ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
21,Male,Honours (on going),Business faculty  ,No ,Medicine used to treat infections ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,I don’t care ,,,,,,,
20,Male,B.S.S,B.S.S,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I don’t care about it ,Yes ,Antibiotics should always be used without consideration of antibiotic resistance ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
23,Female,Haji selim College ,Honours Final year  ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic production pollutes the environment ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
23,Female,B.SC Honors,Begum Badrunnesa Govt. Girls College,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
21,Female,"BBA,3rd year ",Business studies(Management),No ,Medicine used to treat infections ,I have no idea ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
22,Female,Lacky,Microbiology ,No ,Medicine used to treat infections ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
23,Female,LLB final year ,Law,Yes ,Medicine used to treat inflammation ,From the datasheet with the medicine ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
20,Female,M.B.B.S 2nd year,Medical science,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
27,Male,Master's,World Religions and Culture,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
23,Male,student,pharmacy,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
26,Male,MBBS,MBBS,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Legal movement by welfare lawyers ,Our media is not active in spreading awareness ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Oral,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
24,Male,Hon's Final year,Hostory,No ,Medicine used to treat infections ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,Honours 4th year ,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A registered physician prescribed it for the specific symptoms ,No ,
22,Male,Current student ,Mechanical Engineer ,No ,Medicine used to treat viral disease ,From name ,They are the reason hospitalization has been reduced ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good to take medicines regularly (আমি নিয়মিত ওষুধ সেবন করলে ভাল বোধ করি),Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
26,Female,B.Sc completed,Biochemistry and molecular biology,No ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A registered physician prescribed it for the specific symptoms ,No ,
17,Male,12th,Higher secondary  ,No ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
24,Female,Graduate  ,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
24,Male,B.Sc.(Hons.) in Microbiology,Microbiology ,Yes ,Medicine used to treat infections ,From name ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Oral,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
20,Female,Second year,Microbiology ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Female,Jashore medical college,Medical,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
25,Female,Primeasia University ,Primeasia University ,Yes ,Medicine used to treat infections ,From name ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
29,Male,Bsc (honon's) Microbiology,"Popular Diagnostic Centre, Savar, Dhaka",Yes ,Medicine used to treat infections ,From name ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,Medical student  ,Satkhira medical College      ,Yes ,Medicine used to treat infections ,From name ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,B.Sc- 2nd year 2nd Semester,Computer Science and Engineering,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt confident about recovery when antibiotics were prescribed (অ্যান্টিবায়োটিক দেয়া হলে আমি স্বাস্থ্য পুনরুদ্ধারে নিশ্চিন্ত থাকি),High price ,A registered physician prescribed it for the specific symptoms ,No ,
27,Male,Msc student,Microbiology,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Female,Honors,Khulna University ,No ,Medicine used to treat infections ,I have no idea ,They are the reason hospitalization has been reduced ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
24,Male,Undergraduation,Microbiology,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
25,Male,2nd year,Bsc in Microbiology,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,Studying hon's 2nd year,Psychology ,Yes ,Medicine used to treat viral disease ,From name ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our government does not endorse forming public opinion on public health policies ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A non-registered medical professional  recommended (অনিবন্ধিত মেডিকেল পেশাদারের  পরামর্শ অনুযায়ী),No ,
32,Female,Musters,Economics,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
26,Female,BSS degree final year,4 year,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
34,Male,Master’s   ,Education  ,Yes ,Medicine used to treat inflammation ,From name ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,hons,Public Administration  ,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Legal movement by welfare lawyers ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Female,Under graduate ,Public Administration   ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Female,BA honours,University,No ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t care ,,,,,,,
20,Male,BSS(Hons),Journalism,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
31,Female,Postgraduate,Social Science and Humanities,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,Yes ,I didn’t consume antibiotic on time and didn’t complete the course 
21,Male,University student,Physics,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
